Unnamed: 0.1,Unnamed: 0,pid,modality,method,embedding_size,accuracy,train_type
222.0,222.0,23,auditory,contrastive+VAE,128,0.925,
223.0,223.0,14,auditory,contrastive+VAE,128,0.8625,
224.0,224.0,38,auditory,contrastive+VAE,128,0.8791666626930237,
225.0,225.0,32,auditory,contrastive+VAE,128,0.8625,
226.0,226.0,29,auditory,contrastive+VAE,128,0.875,
,,37,visual,pretrained,128,0.8958333333333334,pretrained
,,31,visual,pretrained,128,0.875,pretrained
,,25,visual,pretrained,128,0.9270833333333334,pretrained
,,16,visual,pretrained,128,0.9479166666666666,pretrained
,,22,visual,pretrained,128,0.96875,pretrained
,,34,visual,pretrained,128,0.96875,pretrained
,,4,visual,pretrained,128,0.90625,pretrained
,,1,visual,pretrained,128,0.9270833333333334,pretrained
,,40,visual,pretrained,128,0.9479166666666666,pretrained
,,10,visual,pretrained,128,0.9479166666666666,pretrained
,,7,visual,pretrained,128,0.90625,pretrained
,,13,visual,pretrained,128,0.9479166666666666,pretrained
,,19,visual,pretrained,128,0.9375,pretrained
,,28,visual,pretrained,128,0.8958333333333334,pretrained
,,20,auditory,pretrained,128,0.9479166666666666,pretrained
,,11,auditory,pretrained,128,0.9375,pretrained
,,2,auditory,pretrained,128,0.9270833333333334,pretrained
,,8,auditory,pretrained,128,0.9479166666666666,pretrained
,,5,auditory,pretrained,128,0.8854166666666666,pretrained
,,35,auditory,pretrained,128,0.9375,pretrained
,,41,auditory,pretrained,128,0.90625,pretrained
,,17,auditory,pretrained,128,0.9375,pretrained
,,26,auditory,pretrained,128,0.9166666666666666,pretrained
,,23,auditory,pretrained,128,0.9479166666666666,pretrained
,,14,auditory,pretrained,128,0.8819444378217062,pretrained
,,38,auditory,pretrained,128,0.9270833333333334,pretrained
,,32,auditory,pretrained,128,0.8958333333333334,pretrained
,,29,auditory,pretrained,128,0.9479166666666666,pretrained
,,12,kinetic,pretrained,128,0.8958333333333334,pretrained
,,30,kinetic,pretrained,128,0.875,pretrained
,,36,kinetic,pretrained,128,0.875,pretrained
,,9,kinetic,pretrained,128,0.8333333333333334,pretrained
,,39,kinetic,pretrained,128,0.84375,pretrained
,,3,kinetic,pretrained,128,0.875,pretrained
,,24,kinetic,pretrained,128,0.8958333333333334,pretrained
,,33,kinetic,pretrained,128,0.8333333333333334,pretrained
,,18,kinetic,pretrained,128,0.9166666666666666,pretrained
,,15,kinetic,pretrained,128,0.8125,pretrained
,,6,kinetic,pretrained,128,0.875,pretrained
,,21,kinetic,pretrained,128,0.8229166666666666,pretrained
,,27,kinetic,pretrained,128,0.875,pretrained
,,42,kinetic,pretrained,128,0.8541666666666666,pretrained
